processorNum iteration numProc time
19 2 32 1105152
20 2 32 1108019
21 2 32 1116662
22 2 32 1121406
23 2 32 1115152
24 2 32 1136710
25 2 32 1152181
26 2 32 1163418
27 2 32 1164389
28 2 32 1179343
29 2 32 1180369
30 2 32 1179739
31 2 32 1210096
32 2 32 1352344
1 3 32 623257
2 3 32 653071
3 3 32 684539
4 3 32 709941
5 3 32 716821
6 3 32 738773
7 3 32 748250
8 3 32 748325
9 3 32 762141
10 3 32 769004
11 3 32 783046
12 3 32 785787
13 3 32 801050
14 3 32 802972
15 3 32 803584
16 3 32 810455
17 3 32 818734
18 3 32 834144
19 3 32 830308
20 3 32 847905
21 3 32 884504
22 3 32 889504
23 3 32 898873
24 3 32 906083
25 3 32 912317
26 3 32 926579
27 3 32 967542
28 3 32 993242
29 3 32 1005422
30 3 32 1030282
31 3 32 1125586
32 3 32 1126605
1 3 32 851888
2 3 32 952357
3 3 32 981022
4 3 32 984123
5 3 32 995678
6 3 32 997558
7 3 32 1008339
8 3 32 1007359
9 3 32 1009590
10 3 32 1011522
11 3 32 1030557
12 3 32 1038434
13 3 32 1048409
14 3 32 1048410
15 3 32 1086972
16 3 32 1088008
17 3 32 1091311
18 3 32 1098481
19 3 32 1106617
20 3 32 1114503
21 3 32 1144464
22 3 32 1157096
23 3 32 1175813
24 3 32 1179270
25 3 32 1196465
26 3 32 1196519
27 3 32 1213694
28 3 32 1215202
29 3 32 1228844
30 3 32 1228406
31 3 32 1243119
32 3 32 1279285
1 3 32 988921
2 3 32 1010717
3 3 32 1017951
4 3 32 1018978
5 3 32 1020470
6 3 32 1050302
7 3 32 1057814
8 3 32 1057838
9 3 32 1059216
10 3 32 1060117
11 3 32 1065200
12 3 32 1066004
13 3 32 1068789
14 3 32 1088071
15 3 32 1096611
16 3 32 1106395
17 3 32 1106592
18 3 32 1106622
19 3 32 1108766
20 3 32 1114278
21 3 32 1116123
22 3 32 1123159
23 3 32 1123644
24 3 32 1131367
25 3 32 1138104
26 3 32 1139294
27 3 32 1150401
28 3 32 1154451
29 3 32 1161465
30 3 32 1191870
31 3 32 1208047
32 3 32 1218985
1 3 32 943019
2 3 32 1016267
3 3 32 1017538
4 3 32 1021606
5 3 32 1022360
6 3 32 1026901
7 3 32 1029608
8 3 32 1058658
9 3 32 1060130
10 3 32 1064076
11 3 32 1064562
12 3 32 1066236
13 3 32 1067012
14 3 32 1071274
15 3 32 1075093
16 3 32 1091974
17 3 32 1092529
18 3 32 1094376
19 3 32 1105534
20 3 32 1107763
21 3 32 1112197
22 3 32 1113296
23 3 32 1115458
24 3 32 1087765
25 3 32 1089915
26 3 32 1129271
27 3 32 1137572
28 3 32 1171910
29 3 32 1180843
30 3 32 1182517
31 3 32 1242829
32 3 32 1248754
1 3 32 919378
2 3 32 982087
3 3 32 1018780
4 3 32 1019499
5 3 32 1046720
6 3 32 1047884
7 3 32 1051563
8 3 32 1052671
9 3 32 1053425
10 3 32 1062836
11 3 32 1063527
12 3 32 1071292
13 3 32 1075108
14 3 32 1075349
15 3 32 1085542
16 3 32 1093230
17 3 32 1095199
18 3 32 1099310
19 3 32 1104134
20 3 32 1105519
21 3 32 1107702
22 3 32 1111504
23 3 32 1123617
24 3 32 1126762
25 3 32 1128596
26 3 32 1134200
27 3 32 1141558
28 3 32 1142192
29 3 32 1156479
30 3 32 1192541
31 3 32 1195294
32 3 32 1302650
1 3 32 994950
2 3 32 1005909
3 3 32 1015553
4 3 32 1023429
5 3 32 1030134
6 3 32 1036233
7 3 32 1052113
8 3 32 1057723
9 3 32 1061110
10 3 32 1068126
11 3 32 1073381
12 3 32 1084694
13 3 32 1086014
14 3 32 1086809
15 3 32 1095289
16 3 32 1099118
17 3 32 1099812
18 3 32 1103484
19 3 32 1106083
20 3 32 1110325
21 3 32 1110766
22 3 32 1119808
23 3 32 1125995
24 3 32 1137619
25 3 32 1143497
26 3 32 1146713
27 3 32 1157113
28 3 32 1161945
29 3 32 1164902
30 3 32 1174616
31 3 32 1220417
32 3 32 1331314
1 3 32 996339
2 3 32 988258
3 3 32 999732
4 3 32 1012734
5 3 32 1026002
6 3 32 1028138
7 3 32 1028569
8 3 32 1034132
9 3 32 1038908
10 3 32 1042825
11 3 32 1050488
12 3 32 1067354
13 3 32 1073179
14 3 32 1078873
15 3 32 1084745
16 3 32 1086249
17 3 32 1090799
18 3 32 1092703
19 3 32 1096754
20 3 32 1110507
21 3 32 1111668
22 3 32 1114513
23 3 32 1105357
24 3 32 1115621
25 3 32 1126642
26 3 32 1151948
27 3 32 1155765
28 3 32 1165351
29 3 32 1180844
30 3 32 1225397
31 3 32 1263545
32 3 32 1423935
1 3 32 994909
2 3 32 1011290
3 3 32 1024338
4 3 32 1026696
5 3 32 1033413
6 3 32 1035486
7 3 32 1039378
8 3 32 1041189
9 3 32 1047809
10 3 32 1063730
11 3 32 1063694
12 3 32 1065049
13 3 32 1079080
